"Area","AreaName","StateAb","State","CountyTownName"
"1000005","Sussex Delaware nonmetropolitan area","DE","Delaware","Sussex County"
"100001","Northwest Alabama nonmetropolitan area","AL","Alabama","Cullman County"
"100001","Northwest Alabama nonmetropolitan area","AL","Alabama","Fayette County"
"100001","Northwest Alabama nonmetropolitan area","AL","Alabama","Franklin County"
"100001","Northwest Alabama nonmetropolitan area","AL","Alabama","Lamar County"
"100001","Northwest Alabama nonmetropolitan area","AL","Alabama","Marion County"
"100001","Northwest Alabama nonmetropolitan area","AL","Alabama","Winston County"
"100002","Northeast Alabama nonmetropolitan area","AL","Alabama","Chambers County"
"100002","Northeast Alabama nonmetropolitan area","AL","Alabama","Cherokee County"
"100002","Northeast Alabama nonmetropolitan area","AL","Alabama","Clay County"
"100002","Northeast Alabama nonmetropolitan area","AL","Alabama","Cleburne County"
"100002","Northeast Alabama nonmetropolitan area","AL","Alabama","Coosa County"
"100002","Northeast Alabama nonmetropolitan area","AL","Alabama","DeKalb County"
"100002","Northeast Alabama nonmetropolitan area","AL","Alabama","Jackson County"
"100002","Northeast Alabama nonmetropolitan area","AL","Alabama","Marshall County"
"100002","Northeast Alabama nonmetropolitan area","AL","Alabama","Randolph County"
"100002","Northeast Alabama nonmetropolitan area","AL","Alabama","Talladega County"
"100002","Northeast Alabama nonmetropolitan area","AL","Alabama","Tallapoosa County"
"100003","Southwest Alabama nonmetropolitan area","AL","Alabama","Choctaw County"
"100003","Southwest Alabama nonmetropolitan area","AL","Alabama","Clarke County"
"100003","Southwest Alabama nonmetropolitan area","AL","Alabama","Conecuh County"
"100003","Southwest Alabama nonmetropolitan area","AL","Alabama","Dallas County"
"100003","Southwest Alabama nonmetropolitan area","AL","Alabama","Escambia County"
"100003","Southwest Alabama nonmetropolitan area","AL","Alabama","Marengo County"
"100003","Southwest Alabama nonmetropolitan area","AL","Alabama","Monroe County"
"100003","Southwest Alabama nonmetropolitan area","AL","Alabama","Perry County"
"100003","Southwest Alabama nonmetropolitan area","AL","Alabama","Sumter County"
"100003","Southwest Alabama nonmetropolitan area","AL","Alabama","Washington County"
"100003","Southwest Alabama nonmetropolitan area","AL","Alabama","Wilcox County"
"100004","Southeast Alabama nonmetropolitan area","AL","Alabama","Barbour County"
"100004","Southeast Alabama nonmetropolitan area","AL","Alabama","Bullock County"
"100004","Southeast Alabama nonmetropolitan area","AL","Alabama","Butler County"
"100004","Southeast Alabama nonmetropolitan area","AL","Alabama","Coffee County"
"100004","Southeast Alabama nonmetropolitan area","AL","Alabama","Covington County"
"100004","Southeast Alabama nonmetropolitan area","AL","Alabama","Crenshaw County"
"100004","Southeast Alabama nonmetropolitan area","AL","Alabama","Dale County"
"100004","Southeast Alabama nonmetropolitan area","AL","Alabama","Pike County"
"10180","Abilene, TX","TX","Texas","Callahan County"
"10180","Abilene, TX","TX","Texas","Jones County"
"10180","Abilene, TX","TX","Texas","Taylor County"
"10380","Aguadilla, PR","PR","Puerto Rico","Aguada Municipio"
"10380","Aguadilla, PR","PR","Puerto Rico","Aguadilla Municipio"
"10380","Aguadilla, PR","PR","Puerto Rico","Anasco Municipio"
"10380","Aguadilla, PR","PR","Puerto Rico","Isabela Municipio"
"10380","Aguadilla, PR","PR","Puerto Rico","Moca Municipio"
"10380","Aguadilla, PR","PR","Puerto Rico","Rincon Municipio"
"10380","Aguadilla, PR","PR","Puerto Rico","San Sebastian Municipio"
"10420","Akron, OH","OH","Ohio","Portage County"
"10420","Akron, OH","OH","Ohio","Summit County"
"10500","Albany, GA","GA","Georgia","Dougherty County"
"10500","Albany, GA","GA","Georgia","Lee County"
"10500","Albany, GA","GA","Georgia","Terrell County"
"10500","Albany, GA","GA","Georgia","Worth County"
"10540","Albany, OR","OR","Oregon","Linn County"
"10580","Albany-Schenectady-Troy, NY","NY","New York","Albany County"
"10580","Albany-Schenectady-Troy, NY","NY","New York","Rensselaer County"
"10580","Albany-Schenectady-Troy, NY","NY","New York","Saratoga County"
"10580","Albany-Schenectady-Troy, NY","NY","New York","Schenectady County"
"10580","Albany-Schenectady-Troy, NY","NY","New York","Schoharie County"
"10740","Albuquerque, NM","NM","New Mexico","Bernalillo County"
"10740","Albuquerque, NM","NM","New Mexico","Sandoval County"
"10740","Albuquerque, NM","NM","New Mexico","Torrance County"
"10740","Albuquerque, NM","NM","New Mexico","Valencia County"
"10780","Alexandria, LA","LA","Louisiana","Grant Parish"
"10780","Alexandria, LA","LA","Louisiana","Rapides Parish"
"10900","Allentown-Bethlehem-Easton, PA-NJ","NJ","New Jersey","Warren County"
"10900","Allentown-Bethlehem-Easton, PA-NJ","PA","Pennsylvania","Carbon County"
"10900","Allentown-Bethlehem-Easton, PA-NJ","PA","Pennsylvania","Lehigh County"
