O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.00	2.D.1	Required Level of Education	RL	1	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	2	4.46	28	4.1428	0.6307	25.5524	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	3	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	4	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	5	5.15	28	5.2236	0.6000	32.7756	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	6	32.29	28	12.7266	12.6247	61.1586	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	7	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	8	45.91	28	16.6480	17.6593	77.0570	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	9	3.94	28	4.0634	0.4511	27.0734	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	10	0.55	28	0.5831	0.0637	4.6529	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	11	4.92	28	4.7695	0.6342	29.5426	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	12	2.78	28	2.7428	0.3548	18.6644	N	08/2023	Incumbent
11-1011.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.01	28	0.2773	2.4454	3.5834	N	08/2023	Incumbent
11-1011.03	2.D.1	Required Level of Education	RL	1	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	2	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	3	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	4	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	5	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	6	18.52	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	7	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	8	74.07	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	9	7.41	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	10	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	11	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	12	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.4.a	Job-Related Professional Certification	IM	n/a	2.70	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1021.00	2.D.1	Required Level of Education	RL	1	10.35	28	7.6848	2.0646	38.7124	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	2	28.76	28	11.3910	11.4276	55.8159	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	3	5.72	28	5.6980	0.6906	34.6394	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	4	21.59	28	11.0866	6.7027	51.3506	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	5	5.99	28	5.8141	0.7609	34.6341	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	6	27.30	28	10.5201	11.2316	52.6984	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	7	0.14	28	0.1380	0.0167	1.0888	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	8	0.15	28	0.1576	0.0191	1.2422	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	9	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	10	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	11	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1021.00	2.D.1	Required Level of Education	RL	12	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1021.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	1.88	28	0.2508	1.3704	2.3996	N	08/2023	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	1	6.16	27	5.8830	0.8030	34.7229	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	2	9.82	27	5.9417	2.6660	30.1917	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	3	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	4	7.67	27	5.3186	1.7443	28.0021	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	5	8.04	27	5.4789	1.8701	28.6249	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	6	60.02	27	9.9779	38.9731	77.9195	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	7	2.42	27	2.4071	0.3051	16.7618	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	8	5.87	27	4.1933	1.2953	22.8803	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	9	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	10	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	11	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.1	Required Level of Education	RL	12	0.00	27	0.0000	n/a	n/a	N	08/2018	Incumbent
11-2011.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	1.98	23	0.2188	1.5213	2.4288	N	08/2018	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	1	0.00	37	0.0000	n/a	n/a	N	07/2015	Incumbent
11-2021.00	2.D.1	Required Level of Education	RL	2	3.53	37	3.5620	0.4361	23.3951	N	07/2015	Incumbent
