GWA Element ID	IWA Element ID	DWA Element ID	DWA Element Name
4.A.1.a.1	4.A.1.a.1.a	4.A.1.a.1.a.1	Review art or design materials.
4.A.1.a.1	4.A.1.a.1.a	4.A.1.a.1.a.2	Study details of musical compositions.
4.A.1.a.1	4.A.1.a.1.a	4.A.1.a.1.a.3	Review production information to determine costume or makeup requirements.
4.A.1.a.1	4.A.1.a.1.a	4.A.1.a.1.a.4	Study scripts to determine project requirements.
4.A.1.a.1	4.A.1.a.1.a	4.A.1.a.1.a.5	Review audio or video recordings.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.1	Read materials to determine needed actions.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.2	Read maps to determine routes.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.3	Review customer information.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.4	Read work orders or other instructions to determine product specifications or materials requirements.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.5	Read technical information needed to perform maintenance or repairs.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.6	Study blueprints or other instructions to determine equipment setup requirements.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.7	Read documents to gather technical information.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.8	Review technical documents to plan work.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.9	Review blueprints or specifications to determine work requirements.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.10	Review work orders or schedules to determine operations or procedures.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.11	Review blueprints or other instructions to determine operational methods or sequences.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.12	Evaluate reports or designs to determine work needs.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.13	Read work orders or descriptions of problems to determine repairs or modifications needed.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.14	Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.15	Review details of technical drawings or specifications.
4.A.1.a.1	4.A.1.a.1.b	4.A.1.a.1.b.16	Read work orders to determine material or setup requirements.
4.A.1.a.1	4.A.1.a.1.c	4.A.1.a.1.c.1	Collect evidence for legal proceedings.
4.A.1.a.1	4.A.1.a.1.c	4.A.1.a.1.c.2	Examine crime scenes to obtain evidence.
