GWA Element ID	IWA Element ID	IWA Element Name
4.A.1.a.1	4.A.1.a.1.a	Study details of artistic productions.
4.A.1.a.1	4.A.1.a.1.b	Read documents or materials to inform work processes.
4.A.1.a.1	4.A.1.a.1.c	Investigate criminal or legal matters.
4.A.1.a.1	4.A.1.a.1.d	Gather information from physical or electronic sources.
4.A.1.a.1	4.A.1.a.1.e	Consult legal materials or public records.
4.A.1.a.1	4.A.1.a.1.f	Gather data about operational or development activities.
4.A.1.a.1	4.A.1.a.1.g	Obtain information about goods or services.
4.A.1.a.1	4.A.1.a.1.h	Research issues related to earth sciences.
4.A.1.a.1	4.A.1.a.1.i	Research organizational behavior, processes, or performance.
4.A.1.a.1	4.A.1.a.1.j	Investigate the environmental impact of industrial or development activities.
4.A.1.a.1	4.A.1.a.1.k	Gather information for news stories.
4.A.1.a.1	4.A.1.a.1.l	Collect information about patients or clients.
4.A.1.a.1	4.A.1.a.1.m	Research agricultural processes or practices.
4.A.1.a.1	4.A.1.a.1.n	Collect data about consumer needs or opinions.
4.A.1.a.1	4.A.1.a.1.o	Investigate individuals' background, behavior, or activities.
4.A.1.a.1	4.A.1.a.1.p	Research biological or ecological phenomena.
4.A.1.a.1	4.A.1.a.1.q	Obtain formal documentation or authorization.
4.A.1.a.1	4.A.1.a.1.r	Research historical or social issues.
4.A.1.a.1	4.A.1.a.1.s	Research healthcare issues.
4.A.1.a.1	4.A.1.a.1.t	Research technology designs or applications.
4.A.1.a.1	4.A.1.a.1.u	Investigate incidents or accidents.
4.A.1.a.1	4.A.1.a.1.v	Investigate organizational or operational problems.
4.A.1.a.1	4.A.1.a.1.w	Interview people to obtain information.
4.A.1.a.2	4.A.1.a.2.a	Monitor equipment operation.
4.A.1.a.2	4.A.1.a.2.b	Monitor operations to ensure adequate performance.
4.A.1.a.2	4.A.1.a.2.c	Monitor financial data or activities.
4.A.1.a.2	4.A.1.a.2.d	Monitor traffic conditions.
4.A.1.a.2	4.A.1.a.2.e	Monitor health conditions of humans or animals.
4.A.1.a.2	4.A.1.a.2.f	Monitor individual behavior or performance.
4.A.1.a.2	4.A.1.a.2.g	Monitor safety or security of work areas, facilities, or properties.
4.A.1.a.2	4.A.1.a.2.h	Monitor external affairs, trends, or events.
4.A.1.a.2	4.A.1.a.2.i	Monitor environmental conditions.
4.A.1.a.2	4.A.1.a.2.j	Monitor operation of computer or information technologies.
4.A.1.a.2	4.A.1.a.2.k	Monitor operations to ensure compliance with regulations or standards.
4.A.1.b.1	4.A.1.b.1.a	Mark materials or objects for identification.
4.A.1.b.1	4.A.1.b.1.b	Identify business or organizational opportunities.
4.A.1.b.2	4.A.1.b.2.a	Administer diagnostic tests to assess patient health.
4.A.1.b.2	4.A.1.b.2.b	Evaluate green technologies or processes.
4.A.1.b.2	4.A.1.b.2.c	Test characteristics of materials or products.
4.A.1.b.2	4.A.1.b.2.d	Inspect vehicles.
4.A.1.b.2	4.A.1.b.2.e	Inspect facilities or equipment.
4.A.1.b.2	4.A.1.b.2.f	Inspect completed work or finished products.
4.A.1.b.2	4.A.1.b.2.g	Inspect commercial, industrial, or production systems or equipment.
4.A.1.b.2	4.A.1.b.2.h	Test performance of computer or information systems.
4.A.1.b.2	4.A.1.b.2.i	Examine people or animals to assess health conditions or physical characteristics.
4.A.1.b.2	4.A.1.b.2.j	Inspect characteristics or conditions of materials or products.
4.A.1.b.2	4.A.1.b.2.k	Test sites or materials for environmental hazards.
4.A.1.b.2	4.A.1.b.2.l	Test performance of equipment or systems.
4.A.1.b.3	4.A.1.b.3.a	Measure physical characteristics of materials, products, or equipment.
4.A.1.b.3	4.A.1.b.3.b	Estimate project development or operational costs.
4.A.1.b.3	4.A.1.b.3.c	Calculate financial data.
4.A.1.b.3	4.A.1.b.3.d	Assess characteristics of land or property.
4.A.1.b.3	4.A.1.b.3.e	Take physical measurements of patients or clients.
4.A.2.a.1	4.A.2.a.1.a	Assess living, work, or social needs or status of individuals or communities.
4.A.2.a.1	4.A.2.a.1.b	Evaluate programs, practices, or processes.
4.A.2.a.1	4.A.2.a.1.c	Assess student capabilities, needs, or performance.
4.A.2.a.1	4.A.2.a.1.d	Evaluate personnel capabilities or performance.
4.A.2.a.1	4.A.2.a.1.e	Evaluate production inputs or outputs.
4.A.2.a.1	4.A.2.a.1.f	Evaluate patient or client condition or treatment options.
4.A.2.a.1	4.A.2.a.1.g	Evaluate the characteristics, usefulness, or performance of products or technologies.
4.A.2.a.1	4.A.2.a.1.h	Evaluate scholarly work.
4.A.2.a.1	4.A.2.a.1.i	Evaluate condition of financial assets, property, or other resources.
4.A.2.a.1	4.A.2.a.1.j	Evaluate project feasibility.
4.A.2.a.2	4.A.2.a.2.a	Evaluate the quality or accuracy of data.
4.A.2.a.2	4.A.2.a.2.b	Sort materials or products.
4.A.2.a.2	4.A.2.a.2.c	Compile records, documentation, or other data.
4.A.2.a.2	4.A.2.a.2.d	Reconcile financial data.
4.A.2.a.2	4.A.2.a.2.e	Verify personal information.
4.A.2.a.3	4.A.2.a.3.a	Examine materials or documentation for accuracy or compliance.
4.A.2.a.3	4.A.2.a.3.b	Assess compliance with environmental standards or regulations.
4.A.2.a.3	4.A.2.a.3.c	Examine financial activities, operations, or systems.
4.A.2.a.3	4.A.2.a.3.d	Follow standard healthcare safety procedures to protect patient and staff members.
4.A.2.a.4	4.A.2.a.4.a	Analyze environmental or geospatial data.
4.A.2.a.4	4.A.2.a.4.b	Analyze market or industry conditions.
4.A.2.a.4	4.A.2.a.4.c	Analyze business or financial risks.
4.A.2.a.4	4.A.2.a.4.d	Analyze scientific or applied data using mathematical principles.
4.A.2.a.4	4.A.2.a.4.e	Evaluate designs, specifications, or other technical data.
4.A.2.a.4	4.A.2.a.4.f	Analyze health or medical data.
4.A.2.a.4	4.A.2.a.4.g	Analyze data to improve operations.
4.A.2.a.4	4.A.2.a.4.h	Research laws, precedents, or other legal data.
4.A.2.a.4	4.A.2.a.4.i	Assess characteristics or impacts of regulations or policies.
4.A.2.a.4	4.A.2.a.4.j	Analyze biological or chemical substances or related data.
4.A.2.a.4	4.A.2.a.4.k	Analyze business or financial data.
4.A.2.a.4	4.A.2.a.4.l	Analyze performance of systems or equipment.
4.A.2.b.1	4.A.2.b.1.a	Determine values or prices of goods or services.
