O*NET-SOC Code	Workplace Example	Element ID	Element Name	Hot Technology	In Demand
11-1011.00	Adobe Acrobat	2.E.5.b	Document management software	Y	N
11-1011.00	AdSense Tracker	2.E.6.f	Data base user interface and query software	N	N
11-1011.00	Atlassian JIRA	2.E.5.a	Content workflow software	Y	N
11-1011.00	Blackbaud The Raiser's Edge	2.E.6.c	Customer relationship management CRM software	N	N
11-1011.00	ComputerEase construction accounting software	2.E.2.a	Accounting software	N	N
11-1011.00	Database reporting software	2.E.6.e	Data base reporting software	N	N
11-1011.00	Databox	2.E.6.f	Data base user interface and query software	N	N
11-1011.00	Email software	2.E.16.a	Electronic mail software	N	N
11-1011.00	Exact Software Macola ES Labor Performance	2.E.2.e	Time accounting software	N	N
11-1011.00	Extensible markup language XML	2.E.7.c	Enterprise application integration software	Y	N
11-1011.00	Fund accounting software	2.E.2.a	Accounting software	N	N
11-1011.00	Graphic presentation software	2.E.4.b	Graphics or photo imaging software	N	N
11-1011.00	Halogen e360	2.E.1.c	Human resources software	N	N
11-1011.00	Halogen ePraisal	2.E.1.c	Human resources software	N	N
11-1011.00	HCSS HeavyBid	2.E.1.e	Project management software	N	N
11-1011.00	HCSS HeavyJob	2.E.1.e	Project management software	N	N
11-1011.00	Human resource information system (HRIS)	2.E.1.c	Human resources software	N	N
11-1011.00	Infor SSA Human Capital Management	2.E.1.c	Human resources software	N	N
11-1011.00	Intuit QuickBooks	2.E.2.a	Accounting software	Y	N
11-1011.00	Listserv software	2.E.16.a	Electronic mail software	N	N
11-1011.00	Lyris HQ Web-Analytics Solution	2.E.9.d	Analytical or scientific software	N	N
11-1011.00	Mentimeter	2.E.4.f	Presentation software	N	N
11-1011.00	Microsoft Access	2.E.6.f	Data base user interface and query software	Y	N
11-1011.00	Microsoft Dynamics	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1011.00	Microsoft Dynamics AX	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1011.00	Microsoft Dynamics GP	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1011.00	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	Y
11-1011.00	Microsoft FRx	2.E.2.d	Financial analysis software	N	N
11-1011.00	Microsoft Office software	2.E.1.k	Office suite software	Y	Y
11-1011.00	Microsoft Outlook	2.E.16.a	Electronic mail software	Y	Y
11-1011.00	Microsoft PowerPoint	2.E.4.f	Presentation software	Y	Y
11-1011.00	Microsoft Project	2.E.1.e	Project management software	Y	N
11-1011.00	Microsoft Publisher	2.E.4.k	Desktop publishing software	N	N
11-1011.00	Microsoft SharePoint	2.E.5.b	Document management software	Y	N
11-1011.00	Microsoft Word	2.E.4.d	Word processing software	Y	N
11-1011.00	Nedstat Sitestat	2.E.9.d	Analytical or scientific software	N	N
11-1011.00	Norchard Solutions Succession Wizard	2.E.2.e	Time accounting software	N	N
11-1011.00	Online advertising reporting software	2.E.9.d	Analytical or scientific software	N	N
11-1011.00	Oracle E-Business Suite	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1011.00	Oracle PeopleSoft	2.E.2.b	Enterprise resource planning ERP software	Y	N
11-1011.00	Oracle Siebel Server Sync	2.E.6.c	Customer relationship management CRM software	N	N
11-1011.00	PHP	2.E.7.h	Web platform development software	Y	N
11-1011.00	Relational database management software	2.E.6.d	Data base management system software	N	N
11-1011.00	Sage 50 Accounting	2.E.2.a	Accounting software	N	N
11-1011.00	SAP software	2.E.2.b	Enterprise resource planning ERP software	Y	N
11-1011.00	SmugMug Flickr	2.E.4.b	Graphics or photo imaging software	N	N
