Element ID	Element Name	Survey Item Number	Scale ID
2.C.1.a	Administration and Management	KN01	IM
2.C.1.a	Administration and Management	KN01b	LV
2.C.1.b	Administrative	KN02	IM
2.C.1.b	Administrative	KN02b	LV
2.C.1.c	Economics and Accounting	KN03	IM
2.C.1.c	Economics and Accounting	KN03b	LV
2.C.1.d	Sales and Marketing	KN04	IM
2.C.1.d	Sales and Marketing	KN04b	LV
2.C.1.e	Customer and Personal Service	KN05	IM
2.C.1.e	Customer and Personal Service	KN05b	LV
2.C.1.f	Personnel and Human Resources	KN06	IM
2.C.1.f	Personnel and Human Resources	KN06b	LV
2.C.2.a	Production and Processing	KN07	IM
2.C.2.a	Production and Processing	KN07b	LV
2.C.2.b	Food Production	KN08	IM
2.C.2.b	Food Production	KN08b	LV
2.C.3.a	Computers and Electronics	KN09	IM
2.C.3.a	Computers and Electronics	KN09b	LV
2.C.3.b	Engineering and Technology	KN10	IM
2.C.3.b	Engineering and Technology	KN10b	LV
2.C.3.c	Design	KN11	IM
2.C.3.c	Design	KN11b	LV
2.C.3.d	Building and Construction	KN12	IM
2.C.3.d	Building and Construction	KN12b	LV
2.C.3.e	Mechanical	KN13	IM
2.C.3.e	Mechanical	KN13b	LV
2.C.4.a	Mathematics	KN14	IM
2.C.4.a	Mathematics	KN14b	LV
2.C.4.b	Physics	KN15	IM
2.C.4.b	Physics	KN15b	LV
2.C.4.c	Chemistry	KN16	IM
2.C.4.c	Chemistry	KN16b	LV
2.C.4.d	Biology	KN17	IM
2.C.4.d	Biology	KN17b	LV
2.C.4.e	Psychology	KN18	IM
2.C.4.e	Psychology	KN18b	LV
2.C.4.f	Sociology and Anthropology	KN19	IM
2.C.4.f	Sociology and Anthropology	KN19b	LV
2.C.4.g	Geography	KN20	IM
2.C.4.g	Geography	KN20b	LV
2.C.5.a	Medicine and Dentistry	KN21	IM
2.C.5.a	Medicine and Dentistry	KN21b	LV
2.C.5.b	Therapy and Counseling	KN22	IM
2.C.5.b	Therapy and Counseling	KN22b	LV
2.C.6	Education and Training	KN23	IM
2.C.6	Education and Training	KN23b	LV
2.C.7.a	English Language	KN24	IM
2.C.7.a	English Language	KN24b	LV
2.C.7.b	Foreign Language	KN25	IM
2.C.7.b	Foreign Language	KN25b	LV
2.C.7.c	Fine Arts	KN26	IM
2.C.7.c	Fine Arts	KN26b	LV
2.C.7.d	History and Archeology	KN27	IM
2.C.7.d	History and Archeology	KN27b	LV
2.C.7.e	Philosophy and Theology	KN28	IM
2.C.7.e	Philosophy and Theology	KN28b	LV
2.C.8.a	Public Safety and Security	KN29	IM
2.C.8.a	Public Safety and Security	KN29b	LV
2.C.8.b	Law and Government	KN30	IM
2.C.8.b	Law and Government	KN30b	LV
2.C.9.a	Telecommunications	KN31	IM
2.C.9.a	Telecommunications	KN31b	LV
2.C.9.b	Communications and Media	KN32	IM
2.C.9.b	Communications and Media	KN32b	LV
2.C.10	Transportation	KN33	IM
2.C.10	Transportation	KN33b	LV
2.D.1	Required Level of Education	KN34	RL
2.D.4.a	Job-Related Professional Certification	KN38a	IM
3.A.1	Related Work Experience	KN35	RW
3.A.2	On-Site or In-Plant Training	KN36	PT
3.A.3	On-the-Job Training	KN37	OJ
3.A.4.a	Job-related Apprenticeship	KN38b	IM
4.A.1.a.1	Getting Information	GW01	IM
4.A.1.a.1	Getting Information	GW01b	LV
4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	GW03	IM
4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	GW03b	LV
4.A.1.b.1	Identifying Objects, Actions, and Events	GW02	IM
4.A.1.b.1	Identifying Objects, Actions, and Events	GW02b	LV
4.A.1.b.2	Inspecting Equipment, Structures, or Materials	GW04	IM
4.A.1.b.2	Inspecting Equipment, Structures, or Materials	GW04b	LV
4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	GW05	IM
4.A.1.b.3	Estimating the Quantifiable Characteristics of Products, Events, or Information	GW05b	LV
4.A.2.a.1	Judging the Qualities of Objects, Services, or People	GW06	IM
4.A.2.a.1	Judging the Qualities of Objects, Services, or People	GW06b	LV
4.A.2.a.2	Processing Information	GW08	IM
4.A.2.a.2	Processing Information	GW08b	LV
