Work Styles Element ID	Work Styles Element Name	Work Activities Element ID	Work Activities Element Name
1.D.1.a	Innovation	4.A.2.b.1	Making Decisions and Solving Problems
1.D.1.a	Innovation	4.A.2.b.2	Thinking Creatively
1.D.1.a	Innovation	4.A.2.b.3	Updating and Using Relevant Knowledge
1.D.1.a	Innovation	4.A.2.b.4	Developing Objectives and Strategies
1.D.1.a	Innovation	4.A.4.a.6	Selling or Influencing Others
1.D.1.a	Innovation	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.D.1.a	Innovation	4.A.4.b.3	Training and Teaching Others
1.D.1.a	Innovation	4.A.4.b.6	Providing Consultation and Advice to Others
1.D.1.b	Achievement Orientation	4.A.1.a.1	Getting Information
1.D.1.b	Achievement Orientation	4.A.2.b.1	Making Decisions and Solving Problems
1.D.1.b	Achievement Orientation	4.A.2.b.2	Thinking Creatively
1.D.1.b	Achievement Orientation	4.A.2.b.3	Updating and Using Relevant Knowledge
1.D.1.b	Achievement Orientation	4.A.2.b.4	Developing Objectives and Strategies
1.D.1.b	Achievement Orientation	4.A.2.b.6	Organizing, Planning, and Prioritizing Work
1.D.1.b	Achievement Orientation	4.A.4.a.6	Selling or Influencing Others
1.D.1.b	Achievement Orientation	4.A.4.b.3	Training and Teaching Others
1.D.1.b	Achievement Orientation	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates
1.D.1.b	Achievement Orientation	4.A.4.b.5	Coaching and Developing Others
1.D.1.b	Achievement Orientation	4.A.4.b.6	Providing Consultation and Advice to Others
1.D.1.c	Intellectual Curiosity	4.A.1.a.1	Getting Information
1.D.1.c	Intellectual Curiosity	4.A.2.a.4	Analyzing Data or Information
1.D.1.c	Intellectual Curiosity	4.A.2.b.1	Making Decisions and Solving Problems
1.D.1.c	Intellectual Curiosity	4.A.2.b.2	Thinking Creatively
1.D.1.c	Intellectual Curiosity	4.A.2.b.3	Updating and Using Relevant Knowledge
1.D.1.c	Intellectual Curiosity	4.A.3.b.4	Repairing and Maintaining Mechanical Equipment
1.D.1.c	Intellectual Curiosity	4.A.3.b.5	Repairing and Maintaining Electronic Equipment
1.D.1.c	Intellectual Curiosity	4.A.4.a.1	Interpreting the Meaning of Information for Others
1.D.1.c	Intellectual Curiosity	4.A.4.b.3	Training and Teaching Others
1.D.1.c	Intellectual Curiosity	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates
1.D.1.c	Intellectual Curiosity	4.A.4.b.5	Coaching and Developing Others
1.D.1.c	Intellectual Curiosity	4.A.4.b.6	Providing Consultation and Advice to Others
1.D.1.d	Tolerance for Ambiguity	4.A.2.a.1	Judging the Qualities of Objects, Services, or People
1.D.1.d	Tolerance for Ambiguity	4.A.2.b.1	Making Decisions and Solving Problems
1.D.1.d	Tolerance for Ambiguity	4.A.2.b.2	Thinking Creatively
1.D.1.d	Tolerance for Ambiguity	4.A.2.b.4	Developing Objectives and Strategies
1.D.1.d	Tolerance for Ambiguity	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.D.1.d	Tolerance for Ambiguity	4.A.4.b.6	Providing Consultation and Advice to Others
1.D.1.e	Initiative	4.A.1.a.1	Getting Information
1.D.1.e	Initiative	4.A.2.b.3	Updating and Using Relevant Knowledge
1.D.1.e	Initiative	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships
1.D.1.e	Initiative	4.A.4.a.5	Assisting and Caring for Others
1.D.1.e	Initiative	4.A.4.b.3	Training and Teaching Others
1.D.1.e	Initiative	4.A.4.b.5	Coaching and Developing Others
1.D.1.e	Initiative	4.A.4.b.6	Providing Consultation and Advice to Others
1.D.1.f	Adaptability	4.A.2.b.1	Making Decisions and Solving Problems
1.D.1.f	Adaptability	4.A.2.b.2	Thinking Creatively
1.D.1.f	Adaptability	4.A.2.b.3	Updating and Using Relevant Knowledge
1.D.1.f	Adaptability	4.A.4.a.4	Establishing and Maintaining Interpersonal Relationships
1.D.1.f	Adaptability	4.A.4.a.5	Assisting and Caring for Others
1.D.1.f	Adaptability	4.A.4.a.6	Selling or Influencing Others
1.D.1.f	Adaptability	4.A.4.a.7	Resolving Conflicts and Negotiating with Others
1.D.1.f	Adaptability	4.A.4.a.8	Performing for or Working Directly with the Public
1.D.1.f	Adaptability	4.A.4.b.1	Coordinating the Work and Activities of Others
1.D.1.f	Adaptability	4.A.4.b.2	Developing and Building Teams
1.D.1.f	Adaptability	4.A.4.b.3	Training and Teaching Others
1.D.1.f	Adaptability	4.A.4.b.4	Guiding, Directing, and Motivating Subordinates
1.D.1.f	Adaptability	4.A.4.b.5	Coaching and Developing Others
1.D.1.f	Adaptability	4.A.4.b.6	Providing Consultation and Advice to Others
1.D.1.g	Self-Confidence	4.A.2.a.1	Judging the Qualities of Objects, Services, or People
